Parent Company,Country,count
MITRA AGUNG SAWITA SEJATI,Indonesia,1
KARYA PRATAMA NIAGAJAYA,Indonesia,1
PERUSAHAAN PERKEBUNAN & DAGANG INDAH PONTJAN,Indonesia,1
AMAL TANI,Indonesia,1
SINAR LANGKAT PERKASA,Indonesia,1
MEGAH PUSAKA ANDALAS,Indonesia,1
PERKEBUNAN PERTANIAN PATI SARI,Indonesia,1
BEURATA SUBUR PERSADA,Indonesia,1
TRI AGRO PALMA TAMIANG,Indonesia,1
SAWITTA JAYA LAU PAKAM,Indonesia,1
SUMBER SAWIT MAKMUR,Indonesia,1
ASIA SAWIT MAKMUR JAYA,Indonesia,1
LADANG SAWIT MAS,Indonesia,1
WAHANA POTENSI GUNA,Indonesia,1
CIPTA USAHA SEJATI,Indonesia,1
HARAPAN JAYA SAWITA,Indonesia,1
MITRA BUMI,Indonesia,1
KARYA SERASI JAYA ABADI,Indonesia,1
SERDANG HULU,Indonesia,1
MAJU KALIMANTAN HADAPAN,Indonesia,1
TUNAS HARAPAN SAWIT,Indonesia,1
KEBUN PANTAI RAJA,Indonesia,1
MULTI PRIMA ENTAKAI,Indonesia,1
UNITED KINGDOM INDONESIA PLANTATION,Indonesia,1
MAKMUR ANDALAN SAWIT,Indonesia,1
ADIMULIA AGROLESTARI,Indonesia,1
PARNA AGROMAS,Indonesia,1
REZEKI KENCANA,Indonesia,1
TUNGGAL PERKASA PLANTATIONS,Indonesia,1
MITRA ANEKA REZEKI,Indonesia,1
SAGO NAULI,Indonesia,1
TAMORA AGRO LESTARI,Indonesia,1
SEWANGI SAWIT SEJAHTERA,Indonesia,1
PEPUTRA MASTERINDO,Indonesia,1
BUMI MENTARI KARYA,Indonesia,1
KIMIA TIRTA UTAMA,Indonesia,1
ROHUL SAWIT INDUSTRI,Indonesia,1
SEWANGI SEJATI LUHUR,Indonesia,1
GLOBAL KALIMANTAN MAKMUR,Indonesia,1
SAWIT ASAHAN INDAH,Indonesia,1
MULTI AGRO SENTOSA,Indonesia,1
BINA FITRI JAYA,Indonesia,1
MUTIARA UNGGUL LESTARI,Indonesia,1
EKA DURA INDONESIA,Indonesia,1
SUMBER JAYA INDAHNUSA COY,Indonesia,1
SUMBER ALAM MAKMUR SENTOSA,Indonesia,1
DHARMASRAYA LESTARINDO,Indonesia,1
PRAKARSA TANI SEJATI,Indonesia,1
PRODUK SAWITINDO JAMBI,Indonesia,1
SAWIT ANUGERAH SEJAHTERA,Indonesia,1
KENCANA PERSADA NUSANTARA,Indonesia,1
MERANGKAI ARTHA NUSANTARA,Indonesia,1
FAJAR SAUDARA KUSUMA,Indonesia,1
PALMA ABADI,Indonesia,1
BUKIT BARISAN INDAH PRIMA,Indonesia,1
BATANGHARI SAWIT SEJAHTERA,Indonesia,1
BUKIT BINTANG SAWIT,Indonesia,1
SEPANJANG INTISURYA MULIA,Indonesia,1
RICKY KURNIAWAN KERTAPERSADA,Indonesia,1
SUNGAI BAHAR PASIFIK UTAMA,Indonesia,1
UNGGUL WIDYA TEKNOLOGI LESTARI,Indonesia,1
MESKOM AGRO SARIMAS,Indonesia,1
TASIK RAJA,Indonesia,1
BICCON AGRO MAKMUR,Indonesia,1
KENCANA ANDALAN NUSANTARA,Indonesia,1
SIMPANG KANAN LESTARINDO,Indonesia,1
HERFINATA PALM AND PLANTATION,Indonesia,1
PALMA JAYA SEJAHTERA,Indonesia,1
BUANA WIRASUBUR SAKTI,Indonesia,1
GUNUNG MARAS LESTARI,Indonesia,1
GUNUNGSAWIT BINALESTARI,Indonesia,1
TELAGA HIKMAH,Indonesia,1
SUMBER SAWIT MEKAR,Indonesia,1
SINAR GUNUNG SAWIT RAYA,Indonesia,1
CAMPANG TIGA,Indonesia,1
PALMA MAS SEJATI,Indonesia,1
MAKMUR ABADI RAYA,Indonesia,1
CIPTA CHEMICAL MEDAN OIL,Indonesia,1
MUTIARA BUNDA JAYA,Indonesia,1
RAYA PADANG LANGKAT,Indonesia,1
JAYA PALMA NUSANTARA,Indonesia,1
ANUGERAH LANGKAT MAKMUR,Indonesia,1
SAWIT JAYA MAKMUR SENTOSA,Indonesia,1
SAWIT NAGAN RAYA MAKMUR,Indonesia,1
MINANGA OGAN,Indonesia,1
JAYA BARU PERTAMA,Indonesia,1
KARYA TANAH SUBUR,Indonesia,1
BUMI SAMA GANDA,Indonesia,1
ANUGRAH FAJAR REZEKI,Indonesia,1
BLANG KETUMBA,Indonesia,1
AGROKARYA PRIMA LESTARI,Indonesia,1
MITRA KARYA AGRO INDO,Indonesia,1
PALMAS DEL CESAR S.A.,Colombia,1
KENINGAU PALM OIL MILL SDN BHD,Malaysia,1
SUMBER KHARISMA PERSADA,Indonesia,1
TINTIN BOYOK SAWIT MAKMUR,Indonesia,1
INTI GUNA NABATI,Indonesia,1
JAYA MANDIRI SUKSES,Indonesia,1
BINA SAWIT NUSANTARA,Indonesia,1
AGRO SEJAHTERA MANUNGGAL,Indonesia,1
SUKSES KARYA SAWIT,Indonesia,1
PATIWARE,Indonesia,1
NIRMALA AGRO LESTARI,Indonesia,1
PUCUK JAYA,Indonesia,1
SRIWIJAYA PALM OIL INDONESIA,Indonesia,1
SINAR TENERA,Indonesia,1
BIO NUSANTARA TEKNOLOGI,Indonesia,1
BUANA KARYA BHAKTI,Indonesia,1
NIKMAT HALONA REKSA,Indonesia,1
NAULI SAWIT,Indonesia,1
ANDIKA PERMATA SAWIT LESTARI,Indonesia,1
SURYAINDAH NUSANTARA PAGI,Indonesia,1
GRAND MANDIRI UTAMA,Indonesia,1
CIPTATANI KUMAI SEJAHTERA,Indonesia,1
CHUMPORN PALM OIL INDUSTRY PUBLIC COMPANY LTD,Thailand,1
SELAPAN JAYA,Indonesia,1
LANGKAT NUSANTARA KEPONG,Indonesia,1
AGROACEITE SA,Guatemala,1
SANTA ROSA S.A.,Guatemala,1
BIMA PALMA NUGRAHA,Indonesia,1
RIAU KAMPAR SAHABAT SEJATI,Indonesia,1
PERSADA NUSA NABATI INDONESIA,Indonesia,1
SAWIT SUKSES SEJAHTERA,Indonesia,1
CHIN TECK PLANTATIONS BHD,Malaysia,1
PERSADA AGRO SAWITA,Indonesia,1
KARIMUN AROMATICS,Indonesia,1
SUMATERA MAKMUR LESTARI,Indonesia,1
ANSON OIL INDUSTRIES SDN BHD,Malaysia,1
KEMA DEVELOPMENT SDN BHD,Malaysia,1
SRI SENGGORA KILANG KELAPA SAWIT SDN BHD,Malaysia,1
LANGKAT SAWITHIJAU PRATAMA,Indonesia,1
KILANG MINYAK KELAPA SAWIT SEMANTAN SDN BHD,Malaysia,1
KILANG SAWIT C.P. SDN BHD,Malaysia,1
CITRA SAWIT HARUM,Indonesia,1
PUJAAN MAKMUR OIL MILL SDN BHD,Malaysia,1
SURYA UTAMA AGROLESTARI,Indonesia,1
ENG HONG PALM OIL MILL SDN BHD,Malaysia,1
PESONALINTAS SURASEJATI,Indonesia,1
SUTOPO LESTARI JAYA,Indonesia,1
HARN LEN CORPORATION BHD,Malaysia,1
HASNUR CITRA TERPADU,Indonesia,1
GAN TENG SIEW REALTY SDN BHD,Malaysia,1
BELL SRI LINGGA SDN BHD,Malaysia,1
POLA KAHURIPAN INTI SAWIT,Indonesia,1
KINTAP JAYA WATTINDO,Indonesia,1
KENCANA INTI PERKASA,Indonesia,1
CITRA PUTRA KEBUN ASRI,Indonesia,1
PANCASURYA AGRINDO,Indonesia,1
MEGA HIJAU LESTARI,Indonesia,1
RISDA ESTATES SDN BHD,Malaysia,1
USAHA AGRO INDONESIA,Indonesia,1
KAYUNG AGRO LESTARI,Indonesia,1
WANASARI NUSANTARA,Indonesia,1
GUNUNG PELAWAN LESTARI,Indonesia,1
AGROLESTARI SENTOSA,Indonesia,1
KH REGIONAL GROUP INC.,Guatemala,1
MULTI PERSADA GATRA MEGAH,Indonesia,1
SINAR AGRO RAYA,Indonesia,1
KALIMANTAN AGRO PUSAKA,Indonesia,1
MITRASARI PRIMA,Indonesia,1
BIMA AGRI SAWIT,Indonesia,1
SURYA GEMILANG AGRO MANDIRI,Indonesia,1
BINA MITRA MAKMUR,Indonesia,1
DHARMASRAYA SAWIT LESTARI,Indonesia,1
GOLDEN OILINDO NUSANTARA,Indonesia,1
TUNAS BARU LAMPUNG,Indonesia,1
JUGRA PALM OIL MILL SDN BHD,Malaysia,1
FELCRA JAYAPUTRA SDN BHD,Malaysia,1
AGRI EASTBORNEO KENCANA,Indonesia,1
VAREM SAWIT CEMERLANG,Indonesia,1
KILANG KELAPA SAWIT JERANTUT SDN BHD,Malaysia,1
WAWASAN KEBUN NUSANTARA,Indonesia,1
KALIMANTAN SANGGAR PUSAKA,Indonesia,1
SIN HUAT HIN,Malaysia,1
CAHAYA INTI SAWIT,Indonesia,1
PALUTA INTI SAWIT,Indonesia,1
GRUTI LESTARI PRATAMA,Indonesia,1
KARYA INDORATA PERSADA,Indonesia,1
INDOMAKMUR SAWIT BERJAYA,Indonesia,1
