UML ID,years,Group Name,Parent Company,Mill Name,RSPO Status,RSPO Type,Date RSPO Certification Status,Latitude,Longitude,GPS coordinates,ISO,Country,Province,District,Confidence level,Alternative name,km_forest_area_00,ha_forest_area_00,km_area,km_0,ha_0,treeloss_km_2001,treeloss_ha_2001,treeloss_km_2002,treeloss_ha_2002,treeloss_km_2003,treeloss_ha_2003,treeloss_km_2004,treeloss_ha_2004,treeloss_km_2005,treeloss_ha_2005,treeloss_km_2006,treeloss_ha_2006,treeloss_km_2007,treeloss_ha_2007,treeloss_km_2008,treeloss_ha_2008,treeloss_km_2009,treeloss_ha_2009,treeloss_km_2010,treeloss_ha_2010,treeloss_km_2011,treeloss_ha_2011,treeloss_km_2012,treeloss_ha_2012,treeloss_km_2013,treeloss_ha_2013,treeloss_km_2014,treeloss_ha_2014,treeloss_km_2015,treeloss_ha_2015,treeloss_km_2016,treeloss_ha_2016,treeloss_km_2017,treeloss_ha_2017,treeloss_km_2018,treeloss_ha_2018,treeloss_km_2019,treeloss_ha_2019,treeloss_km_2020,treeloss_ha_2020,treeloss_km_2021,treeloss_ha_2021,treeloss_km_2022,treeloss_ha_2022,sum_of_treeloss_km,treeloss_sum_proportion_of_forest,remaining_forest_km,remaining_proportion_of_forest,Current Deforestation Score,Past Deforestation Score,Future Risk Score
PO1000002143,"2021,2020,2019",ROYAL GOLDEN EAGLE,DASA ANUGERAH SEJATI,TAMAN RAJA,RSPO Certified,"RSPO Certified, MB",3/31/23,-1.18,103.01,"-1.176694, 103.007806",IDN,Indonesia,Jambi,Tanjung Jabung B,1-Fully Verified,,284.42,28441.71,309.41,332.52,33252.48,4.08,408.42,3.74,373.77,4.06,406.08,11.87,1187.46,3.31,331.2,7.41,741.33,12.98,1298.07,27.75,2775.15,12.58,1257.75,1.21,121.14,3.79,379.17,11.31,1130.85,10.84,1084.41,7.55,755.46,10.48,1047.78,17.67,1767.15,3.78,377.55,2.96,295.83,1.72,171.72,2.37,237.15,2.12,211.95,6.93,692.64,170.52,0.6,113.9,0.4,3,3,3
PO1000002144,"2019,2020,2021",ROYAL GOLDEN EAGLE,SUPRA MATRA ABADI,TANAH DATAR,RSPO Certified,"RSPO Certified, MB",3/31/23,3.15,99.56,"3.148056, 99.556389",IDN,Indonesia,Sumatera Utara,Batu Bara,1-Fully Verified,,56.2,5619.51,121.71,277.98,27797.67,1.16,116.37,0.14,14.22,0.83,82.98,0.63,62.82,0.32,32.13,0.21,21.15,0.65,64.89,0.49,48.96,1.67,166.86,3.59,359.01,0.26,25.56,0.71,70.56,0.04,4.32,1.73,172.8,0.16,16.29,1.5,149.85,0.74,73.62,0.66,65.79,1.55,154.53,0.48,47.7,2.14,214.38,0.71,71.01,20.36,0.36,35.84,0.64,4,3,4
PO1000002145,"2020,2019,2021",ROYAL GOLDEN EAGLE,SUPRA MATRA ABADI,AEK NABARA,RSPO Certified,"RSPO Certified, MB",3/31/23,2,99.94,"1.999722, 99.939722",IDN,Indonesia,Sumatera Utara,Labuhanbatu,1-Fully Verified,,129.75,12975.12,122.26,192.18,19218.42,0.64,63.72,0.44,43.92,0.17,17.19,1.41,140.85,0.66,66.42,2.46,246.33,2.49,249.03,11.7,1169.55,2.76,275.76,3.46,345.6,1.48,148.41,0.85,85.14,0.12,11.88,0.41,40.86,4.49,449.1,5.14,514.35,8.4,839.88,4.27,427.5,1.83,182.61,1.24,124.11,6.63,663.12,8.96,896.49,70.02,0.54,59.73,0.46,5,3,5
PO1000002146,"2020,2021,2019",ROYAL GOLDEN EAGLE,SUPRA MATRA ABADI,TELUK PANJIE,RSPO Certified,"RSPO Certified, MB",3/31/23,2,100.24,"2.002806, 100.243611",IDN,Indonesia,Sumatera Utara,Labuhanbatu Selatan,1-Fully Verified,,72.98,7298.19,88.04,255.82,25581.78,0.17,16.65,0.1,9.54,0.05,5.22,0.08,8.1,0.12,12.06,0.08,7.56,0.07,7.2,0.01,1.44,0.26,26.01,0.15,14.58,0.11,10.71,0.14,13.5,0.99,98.82,0.53,53.01,3.62,361.89,1.16,116.46,7.25,725.13,4.33,432.9,1.75,175.23,2.16,215.91,5.11,511.02,6.07,606.78,34.3,0.47,38.68,0.53,5,3,5
PO1000002147,"2019,2020,2021",ROYAL GOLDEN EAGLE,INTI INDOSAWIT SUBUR,NEGERI LAMA I,RSPO Certified,"RSPO Certified, MB",3/31/23,2.36,100.04,"2.359694, 100.041889",IDN,Indonesia,Sumatera Utara,Labuhanbatu,1-Fully Verified,,267.47,26747.1,598.15,1161.53,116152.56,1.4,140.49,4.16,416.16,0.23,23.04,4.16,416.34,3.78,378.45,1.39,138.96,2.57,257.4,0.49,48.78,2.26,226.35,20.28,2028.06,23.64,2364.3,23.53,2352.6,10.83,1083.15,20.02,2001.78,13.82,1382.31,28.93,2892.69,10.14,1014.3,9.98,998.28,7.17,717.39,2.26,225.72,7.54,754.02,4.9,490.23,203.51,0.76,63.96,0.24,3,4,3
PO1000002159,2020,SALIM GROUP,GUNUNG MAS RAYA,SUNGAI BANGKO,Not RSPO Certified,,3/31/23,1.59,100.68,"1.5857, 100.6765",IDN,Indonesia,Riau,Rokan Hilir,1-Fully Verified,,104.92,10492.47,134.97,265.07,26507.34,1.86,186.48,0.49,48.87,0.8,80.28,2.86,286.2,2.67,266.94,5,500.4,2.39,239.31,1.79,179.19,1.3,130.5,1.7,170.19,0.65,65.43,1.37,136.8,2.82,281.52,3.75,374.76,2.24,224.1,5.18,518.49,3.34,333.9,2.97,297,2.76,275.67,2.82,282.06,4.97,497.25,2.84,284.04,56.59,0.54,48.33,0.46,5,3,4
PO1000002198,"2020,2019,2021",SINAR MAS,BINASAWIT ABADI PRATAMA,PT BINASAWIT ABADI PRATAMA - PERDANA MILL,Not RSPO Certified,,3/31/23,-2.42,112.36,"-2.422506, 112.359586",IDN,Indonesia,Kalimantan Tengah,Seruyan,1-Fully Verified,,144.27,14426.82,187.9,188.04,18804.33,0.9,89.73,9.06,906.12,2.28,227.52,3.72,372.42,13.11,1310.76,54.49,5448.78,29.62,2961.72,19.17,1916.82,5.21,521.01,0.85,85.41,1.93,192.87,1.62,162.27,0.18,18.36,0.68,67.68,0.47,46.53,0.79,79.38,0.22,21.6,0.26,25.65,0.23,23.49,0.19,19.08,0.06,5.76,0.68,68.31,144.27,1,0,0,1,5,1
PO1000002219,2020,LONSUM,PERUSAHAAN PERKEBUNAN LONDON SUMATRA INDONESIA,BEGERPANG,Not RSPO Certified,,3/31/23,3.46,98.82,"3.458888, 98.823333",IDN,Indonesia,Sumatera Utara,Deli Serdang,1-Fully Verified,,48.28,4828.5,79.75,127.56,12755.88,2.4,239.67,3.07,306.63,2.54,254.34,0.35,35.1,0.12,12.24,0.03,2.97,0.08,8.1,0.39,38.97,0.33,33.12,0.38,38.07,0.29,29.34,1.73,173.16,0.15,15.21,2.43,243.45,0.72,71.91,0.89,88.65,0.85,84.6,1.19,119.34,2.46,245.97,1.01,101.16,2.18,218.34,1.3,129.78,24.9,0.52,23.38,0.48,5,3,4
PO1000002227,2020,LONSUM,PERUSAHAAN PERKEBUNAN LONDON SUMATRA INDONESIA,DOLOK,Not RSPO Certified,,3/31/23,3.16,99.43,"3.16491, 99.43033",IDN,Indonesia,Sumatera Utara,Batu Bara,1-Fully Verified,,38.31,3830.85,44.52,64.15,6415.2,3.1,309.6,0.97,97.29,1.36,135.81,1.41,140.94,0.36,35.73,2.11,211.5,1.37,136.89,0.03,2.7,1.15,114.84,0.47,47.34,1.22,122.31,0.71,71.37,0.1,9.63,0.63,62.82,0.28,27.54,0.65,64.71,1.36,136.26,2.38,237.51,1.02,101.97,0.46,46.44,1.05,104.94,1.22,121.86,23.4,0.61,14.91,0.39,4,3,3
PO1000002320,"2020,2021",SINAR MAS,SINAR MAS AGRO RESOURCES AND TECHNOLOGY,BATU KAPUR,Not RSPO Certified,,3/31/23,-2.94,116.05,"-2.942661, 116.047451",IDN,Indonesia,Kalimantan Selatan,Kota Baru,1-Fully Verified,,406.72,40672.26,422.64,1192.62,119262.06,1.05,105.12,1.33,132.93,0.83,82.98,2.11,210.51,2.03,202.86,2.1,210.15,0.66,65.88,1,99.72,2.02,202.41,0.73,72.81,1.6,160.29,2.12,211.68,2.66,266.22,4.63,462.6,7.16,716.4,18.01,1800.99,2.46,246.24,4.04,404.37,4.72,471.78,1.11,110.79,7.2,720.09,9.09,909,78.66,0.19,328.06,0.81,3,1,4
