UML ID,years,Group Name,Parent Company,Mill Name,RSPO Status,RSPO Type,Date RSPO Certification Status,Latitude,Longitude,GPS coordinates,ISO,Country,Province,District,Confidence level,Alternative name,km_forest_area_00,ha_forest_area_00,km_area,km_0,ha_0,treeloss_km_2001,treeloss_ha_2001,treeloss_km_2002,treeloss_ha_2002,treeloss_km_2003,treeloss_ha_2003,treeloss_km_2004,treeloss_ha_2004,treeloss_km_2005,treeloss_ha_2005,treeloss_km_2006,treeloss_ha_2006,treeloss_km_2007,treeloss_ha_2007,treeloss_km_2008,treeloss_ha_2008,treeloss_km_2009,treeloss_ha_2009,treeloss_km_2010,treeloss_ha_2010,treeloss_km_2011,treeloss_ha_2011,treeloss_km_2012,treeloss_ha_2012,treeloss_km_2013,treeloss_ha_2013,treeloss_km_2014,treeloss_ha_2014,treeloss_km_2015,treeloss_ha_2015,treeloss_km_2016,treeloss_ha_2016,treeloss_km_2017,treeloss_ha_2017,treeloss_km_2018,treeloss_ha_2018,treeloss_km_2019,treeloss_ha_2019,treeloss_km_2020,treeloss_ha_2020,treeloss_km_2021,treeloss_ha_2021,treeloss_km_2022,treeloss_ha_2022,sum_of_treeloss_km,treeloss_sum_proportion_of_forest,remaining_forest_km,remaining_proportion_of_forest,Current Deforestation Score,Past Deforestation Score,Future Risk Score
PO1000004422,2020,ASTRA AGRO LESTARI,EKA DURA INDONESIA,EKA DURA INDONESIA,Not RSPO Certified,,3/31/23,0.88,100.61,"0.88425, 100.611683",IDN,Indonesia,Riau,Rokan Hulu,1-Fully Verified,,141.42,14142.33,162.78,206.72,20671.92,1.74,173.61,4.7,469.98,0.27,26.73,4.66,465.84,3.53,352.62,6.35,635.31,4.65,465.39,3.87,387,7.9,790.38,5.46,545.94,4.04,404.1,10.19,1019.07,3.24,323.73,1.27,126.63,4.32,431.91,7.36,736.38,9.21,920.7,8.48,847.98,8.27,827.37,5.84,584.1,3.87,386.73,0.57,57.33,109.79,0.78,31.63,0.22,3,4,3
PO1000004423,2020,UNKNOWN,SUMBER JAYA INDAHNUSA COY,KOTA LAMA,Not RSPO Certified,,3/31/23,0.89,100.7,"0.892167, 100.699",IDN,Indonesia,Riau,Rokan Hulu,1-Fully Verified,,136.48,13648.32,160.24,279.25,27925.2,1.6,160.29,6.57,657.45,2.83,282.69,21.91,2190.78,13.64,1364.31,11.38,1138.05,7.98,797.67,0.75,75.15,9.3,929.61,1.36,135.9,0.4,39.87,0.92,91.98,0.02,2.07,0.1,9.63,0.05,4.68,0.16,15.66,3.71,370.89,4.28,428.13,2.7,269.73,5.31,530.91,4.81,481.14,4.21,421.11,103.98,0.76,32.51,0.24,4,4,3
PO1000004424,2020,PADASA ENAM UTAMA,SUMBER ALAM MAKMUR SENTOSA,MUARA DILAM,Not RSPO Certified,,3/31/23,0.96,100.72,"0.959467, 100.723783",IDN,Indonesia,Riau,Rokan Hulu,1-Fully Verified,,36,3600.27,42.98,40.66,4066.38,3.09,308.7,1.11,111.42,0.31,31.41,2.01,200.7,8.32,831.78,7.48,748.44,5.44,544.23,0.36,35.73,3.06,305.73,1.39,138.78,0.09,8.82,0.8,79.56,0.03,2.88,0.06,5.94,0.01,0.72,0.01,1.08,0.05,5.31,0.03,2.61,0.07,7.02,0.01,0.99,0.03,2.61,0,0.36,33.75,0.94,2.25,0.06,1,5,1
PO1000004425,2020,SEPTA,CITRA BUMI AGRO,CITRA BUMI AGRO,Not RSPO Certified,,3/31/23,1,100.62,"0.995767, 100.6169",IDN,Indonesia,Riau,Rokan Hulu,1-Fully Verified,,113.48,11348.28,145.68,162.71,16271.01,3.92,392.22,2.62,261.54,0.56,55.62,6.17,617.31,15.12,1512.36,28.36,2836.17,16.35,1635.3,3.56,355.86,8.31,830.97,2.28,227.52,1.82,181.71,2.63,263.16,0.77,76.59,0.65,64.53,0.41,41.31,0.81,81.18,1.36,136.08,1.15,115.29,0.46,45.81,0.15,15.12,0.59,59.4,0.2,19.62,98.25,0.87,15.24,0.13,1,5,1
PO1000004428,2020,PTPN III,PERKEBUNAN NUSANTARA IV,SOSA,RSPO Certified,"RSPO Certified, MB",3/31/23,1.05,100.01,"1.048917, 100.012283",IDN,Indonesia,Sumatera Utara,Padang Lawas,1-Fully Verified,,86.98,8697.51,99,130.03,13002.84,0.48,47.97,1.29,129.24,0.45,44.55,0.63,63.36,0.78,77.58,1.54,154.35,0.83,82.53,0.48,47.61,0.49,48.51,0.63,63,1.92,191.52,20.33,2032.74,17,1700.19,3.34,334.35,0.33,33.03,0.99,99.18,0.59,58.77,0.26,25.74,0.08,7.92,2.84,283.77,2.69,268.65,1.03,102.6,58.97,0.68,28,0.32,3,4,3
PO1000004431,2020,SUMBER TANI AGUNG,KARYA AGUNG SAWITA,KARYA AGUNG SAWITA,Not RSPO Certified,,3/31/23,1.07,99.96,"1.0657, 99.963133",IDN,Indonesia,Sumatera Utara,Padang Lawas,1-Fully Verified,,505.52,50551.56,584.68,1023.07,102306.69,2.52,252.09,2.69,269.1,1.81,181.08,7.34,733.95,6.85,685.35,11.75,1175.49,7.73,772.92,15.61,1561.23,14.83,1483.38,5.11,511.11,29.34,2933.82,11.96,1195.92,8.77,877.23,7.92,791.55,9.36,936.36,7.68,768.33,18.02,1801.71,2.68,268.29,2.65,264.87,3.2,319.95,3.58,358.47,8.06,805.95,189.48,0.37,316.03,0.63,3,3,3
PO1000004432,2020,SIN TEK HUAT,TRIMITRA LESTARI,TRIMITRA LESTARI,Not RSPO Certified,,3/31/23,-1.07,103.17,"-1.068733, 103.165067",IDN,Indonesia,Jambi,Tanjung Jabung B,2-High Confidence,,923.05,92305.35,1049.76,2660.96,266096.16,33.62,3362.22,36.95,3695.04,16.65,1665.09,32.84,3284.01,35.49,3549.33,36.05,3604.95,31.91,3190.77,110.11,11011.32,54.78,5477.58,2.98,297.9,2,199.62,33.33,3332.97,7.16,715.59,11.48,1148.49,6.05,604.98,20.93,2093.31,18.79,1878.57,12.74,1274.04,9.85,984.96,9.76,976.05,8.78,877.95,8.32,831.96,540.57,0.59,382.49,0.41,3,3,3
PO1000004434,2020,DUTA MARGA,DHARMASRAYA LESTARINDO,DHARMASRAYA LESTARINDO,Not RSPO Certified,,3/31/23,-1.08,101.66,"-1.076033, 101.663617",IDN,Indonesia,Sumatera Barat,Dharmasraya,1-Fully Verified,,177.34,17733.69,270.84,544.4,54439.56,2.9,289.62,1.13,113.49,0.93,93.24,7.82,782.28,2.58,258.39,8.41,841.5,2.52,251.82,4.22,422.01,2.72,272.16,1.83,182.7,3.24,324.36,3.94,394.02,2.6,260.01,4.34,434.34,4.68,468.27,6.01,601.11,8.52,851.76,3.04,303.93,4.91,491.49,4.77,476.73,5.94,594.09,5.46,546.12,92.53,0.52,84.8,0.48,4,3,4
PO1000004435,2020,UNKNOWN,NAGAMAS AGRO MULIA,TALIKUMAIN,Not RSPO Certified,,3/31/23,1.08,100.26,"1.077988, 100.261278",IDN,Indonesia,Riau,Rokan Hulu,1-Fully Verified,,133.26,13326.12,197.5,429.5,42950.07,1.99,198.99,3.96,396.27,3.46,345.6,9.74,973.71,13.55,1355.13,3.94,394.2,8.03,802.53,4.11,411.21,11.45,1144.98,5.18,518.22,5.1,509.94,6.68,668.07,0.72,71.91,1.82,182.43,1.41,141.39,4.4,439.83,1.69,169.11,1.37,136.53,0.8,79.74,1.71,171.18,1.85,184.86,1.7,170.1,94.66,0.71,38.6,0.29,3,4,3
PO1000004436,2020,FIRST RESOURCES,SWADAYA MUKTI PRAKARSA,SWADAYA MUKTI PRAKARSA,Not RSPO Certified,,3/31/23,-1.08,110.38,"-1.082883, 110.38345",IDN,Indonesia,Kalimantan Barat,Kayong Utara,1-Fully Verified,,609.87,60986.88,573.17,1056.6,105660.45,3.41,340.74,1.83,183.42,1.55,155.07,4.79,479.25,1.31,130.68,8.73,872.91,27.83,2783.43,37.44,3744.45,5.41,541.35,3.41,341.19,5.63,562.77,6.84,684.18,3.08,307.8,8.86,886.23,9.51,951.12,7.84,783.72,4.27,426.69,2.47,247.41,8.46,846.09,3.41,341.19,1.51,150.66,0.91,90.54,158.51,0.26,451.36,0.74,1,2,3
