UML ID,years,Group Name,Parent Company,Mill Name,RSPO Status,RSPO Type,Date RSPO Certification Status,Latitude,Longitude,GPS coordinates,ISO,Country,Province,District,Confidence level,Alternative name,km_forest_area_00,ha_forest_area_00,km_area,km_0,ha_0,treeloss_km_2001,treeloss_ha_2001,treeloss_km_2002,treeloss_ha_2002,treeloss_km_2003,treeloss_ha_2003,treeloss_km_2004,treeloss_ha_2004,treeloss_km_2005,treeloss_ha_2005,treeloss_km_2006,treeloss_ha_2006,treeloss_km_2007,treeloss_ha_2007,treeloss_km_2008,treeloss_ha_2008,treeloss_km_2009,treeloss_ha_2009,treeloss_km_2010,treeloss_ha_2010,treeloss_km_2011,treeloss_ha_2011,treeloss_km_2012,treeloss_ha_2012,treeloss_km_2013,treeloss_ha_2013,treeloss_km_2014,treeloss_ha_2014,treeloss_km_2015,treeloss_ha_2015,treeloss_km_2016,treeloss_ha_2016,treeloss_km_2017,treeloss_ha_2017,treeloss_km_2018,treeloss_ha_2018,treeloss_km_2019,treeloss_ha_2019,treeloss_km_2020,treeloss_ha_2020,treeloss_km_2021,treeloss_ha_2021,treeloss_km_2022,treeloss_ha_2022,sum_of_treeloss_km,treeloss_sum_proportion_of_forest,remaining_forest_km,remaining_proportion_of_forest,Current Deforestation Score,Past Deforestation Score,Future Risk Score
PO1000004270,2020,UNKNOWN,CITRA INDAH PERTIWI,CITRA INDAH PERTIWI,Not RSPO Certified,,3/31/23,2.07,100.01,"2.072353, 100.010247",IDN,Indonesia,Sumatera Utara,Labuhanbatu,1-Fully Verified,,45.2,4519.98,45.67,76.62,7662.33,0.28,28.17,0.34,33.93,0.11,11.43,1.8,180.09,4.11,410.58,3.98,398.07,1.43,143.19,1.79,178.74,0.58,57.87,1.05,105.21,1.01,100.98,0.28,28.26,0.18,18.27,0.59,58.59,0.5,50.13,0.68,67.5,1.68,168.3,0.53,52.74,0.34,34.47,0.27,27,0.35,34.92,0.43,43.02,22.31,0.49,22.89,0.51,3,3,3
PO1000004273,2020,UNKNOWN,SINAR SAWIT LESTARI,SINAR SAWIT LESTARI,Not RSPO Certified,,3/31/23,2.46,99.65,"2.461781, 99.652975",IDN,Indonesia,Sumatera Utara,Labuhanbatu Utara,1-Fully Verified,,10.09,1009.44,11.61,19.72,1972.44,0.05,5.31,0.05,5.4,0.01,0.63,0.06,6.21,0.08,8.28,0.02,1.98,0.05,5.22,0.04,4.32,0.06,6.3,0.22,22.32,0.03,3.15,0.04,3.6,0.01,0.63,0.08,8.46,0.12,12.42,0.27,26.82,0.12,11.52,0.09,9.18,0.06,5.58,0.06,6.03,0.11,10.98,0.09,8.82,1.73,0.17,8.36,0.83,3,1,3
PO1000004274,2020,UNKNOWN,BANGUN SEMPURNA LESTARI,BANGUN SEMPURNA LESTARI,Not RSPO Certified,,3/31/23,2.63,97.95,"2.633514, 97.950322",IDN,Indonesia,Aceh,Subulussalam,1-Fully Verified,,1403.35,140334.66,1572.79,4266.97,426696.84,9.53,952.92,6.08,607.77,7.59,758.97,17.5,1749.87,15.76,1576.17,28.33,2833.2,16.5,1650.15,34.2,3420.09,29.64,2963.79,25.79,2578.68,16.8,1680.21,35.16,3515.58,14.52,1451.79,21.97,2197.44,14.01,1401.21,14.95,1495.44,15.24,1524.24,20.88,2088.27,9.44,944.46,11.8,1179.9,12.19,1219.14,20.02,2001.87,397.91,0.28,1005.44,0.72,3,2,3
PO1000004275,2020,UNKNOWN,DJAJA PUTRA INDONESIA,DJAJA PUTRA INDONESIA,Not RSPO Certified,,3/31/23,2.68,99.43,"2.680278, 99.427611",IDN,Indonesia,Sumatera Utara,Asahan,1-Fully Verified,,942.24,94224.15,1142.28,3022.69,302269.32,5.79,579.33,3,299.88,2.41,240.75,5.6,559.71,5.74,573.75,5.28,527.58,4.96,496.08,1.66,165.78,7.7,770.22,6.81,681.03,5.13,513,6.46,646.47,3.38,338.13,7.73,772.56,6.36,636.3,11.45,1145.16,10.98,1097.91,11.56,1155.87,10.08,1007.82,7.23,723.33,8.78,877.86,4.52,451.62,142.6,0.15,799.64,0.85,2,1,3
PO1000004286,2020,UNKNOWN,INDOMAS MITRA TEKNIK,INDOMAS MITRA TEKNIK,Not RSPO Certified,,3/31/23,3.23,97.98,"3.2259, 97.980486",IDN,Indonesia,Sumatera Utara,Karo,1-Fully Verified,,2220.77,222076.62,2524.36,4983.13,498312.63,13.28,1327.5,6.1,610.2,2.62,262.08,8.26,825.93,6.33,632.7,5.04,503.64,23.98,2398.14,26.1,2610.27,18.06,1806.03,58.27,5826.78,13.37,1337.22,40.54,4054.05,8.82,881.55,35.74,3574.44,12.66,1265.85,36.01,3600.72,20.8,2079.63,23.68,2368.44,14.65,1465.38,21.5,2150.46,21.21,2120.67,29.88,2987.73,446.89,0.2,1773.87,0.8,3,1,3
PO1000004288,2020,UNKNOWN,MITRA AGUNG SAWITA SEJATI,MITRA AGUNG SAWITA SEJATI,Not RSPO Certified,,3/31/23,3.3,99.31,"3.296392, 99.305017",IDN,Indonesia,Sumatera Utara,Batu Bara,1-Fully Verified,,41.45,4145.22,52.14,83.8,8379.9,1.84,183.78,0.07,6.66,0.01,1.08,0.2,20.16,0.1,10.08,0.16,15.66,0.43,43.02,0.05,5.13,0.23,22.77,0.42,42.21,0.16,16.29,0.29,29.34,0.13,13.14,0.54,54.27,0.61,60.84,0.83,83.25,0.49,48.6,0.57,56.7,0.39,38.97,1.15,114.75,0.86,86.49,0.4,40.23,9.93,0.24,31.52,0.76,3,1,3
PO1000004295,2020,UNKNOWN,AMAL TANI,AMAL TANI,Not RSPO Certified,,3/31/23,3.59,98.31,"3.588333, 98.305556",IDN,Indonesia,Sumatera Utara,Langkat,1-Fully Verified,,108.36,10836,132.06,285.15,28515.06,0.44,44.01,0.2,19.98,0.29,28.8,0.3,29.79,1.39,139.14,1.94,194.49,0.74,74.34,0.34,34.2,0.9,89.55,0.53,52.74,1.01,101.34,1.83,183.24,0.27,26.82,1.65,165.06,0.51,51.12,1.62,161.91,2.41,241.47,4.6,459.54,3.47,347.04,1.75,174.51,3.1,309.69,3.1,310.32,32.39,0.3,75.97,0.7,4,2,4
PO1000004296,2020,UNKNOWN,SINAR LANGKAT PERKASA,SINAR LANGKAT PERKASA,Not RSPO Certified,,3/31/23,3.62,98.4,"3.620806, 98.401528",IDN,Indonesia,Sumatera Utara,Langkat,1-Fully Verified,,70.92,7091.91,113.18,288.76,28876.05,0.29,29.07,0.28,28.44,0.47,46.8,1.08,108.18,0.93,92.88,0.41,40.77,0.78,78.21,2.25,224.55,2.01,200.88,0.58,57.6,0.1,10.26,1.68,168.03,0.1,9.63,0.66,66.24,0.11,10.71,1.27,126.81,0.91,90.9,1.47,147.42,3.05,304.74,2.61,260.73,0.98,98.28,0.29,29.07,22.3,0.31,48.62,0.69,3,2,3
PO1000004297,2020,UNKNOWN,MEGAH PUSAKA ANDALAS,MEGAH PUSAKA ANDALAS,Not RSPO Certified,,3/31/23,3.65,98.15,"3.6506639, 98.1507722",IDN,Indonesia,Sumatera Utara,Langkat,1-Fully Verified,,396.67,39666.69,382.36,753.5,75349.89,0.2,19.53,0.27,27,0.31,31.05,1.28,128.43,0.41,41.4,0.39,39.06,0.28,27.63,0.22,22.14,2.2,220.14,1.3,129.87,3.11,311.49,2.02,201.6,1.5,150.21,3.96,395.73,2.31,230.85,2.31,231.03,1.2,120.42,3.4,340.38,2.39,239.22,2.14,214.29,2.98,298.08,2.05,204.84,36.24,0.09,360.42,0.91,2,1,3
PO1000004303,2020,UNKNOWN,BEURATA SUBUR PERSADA,BEURATA SUBUR PERSADA,Not RSPO Certified,,3/31/23,4.13,96.34,"4.125333, 96.34125",IDN,Indonesia,Aceh,Nagan Raya,1-Fully Verified,,1670.81,167081.22,1692.02,3847.81,384781.41,5.98,597.6,2.19,218.79,1.04,104.04,2.19,219.24,2.46,246.24,3.97,396.99,5.55,555.12,6.28,628.47,19.32,1932.12,9.59,958.59,19.63,1963.08,16.46,1646.01,19.26,1925.82,14.22,1422.45,14.58,1458.45,22.73,2273.22,29.01,2901.15,21.28,2127.51,16.99,1698.75,11.94,1194.21,18.88,1887.93,14.67,1467.09,278.23,0.17,1392.58,0.83,3,1,3
PO1000004305,2020,UNKNOWN,TRI AGRO PALMA TAMIANG,TRI AGRO PALMA TAMIANG,Not RSPO Certified,,3/31/23,4.19,98.04,"4.186056, 98.042389",IDN,Indonesia,Aceh,Aceh Tamiang,1-Fully Verified,,94.71,9470.88,115.34,257.62,25761.87,1.37,137.34,1.76,176.49,0.45,45.27,0.25,24.66,0.07,7.29,1.02,102.15,1.28,128.07,3.1,310.23,2.62,261.81,2.88,288.36,1.02,101.7,0.75,74.88,4.01,400.68,2.38,237.51,1.03,102.87,1.57,156.69,1.23,122.67,4.3,430.47,2.25,225.36,5.54,554.49,2.91,290.79,2.68,268.11,44.48,0.47,50.23,0.53,4,3,4
PO1000004312,2020,UNKNOWN,SAWITTA JAYA LAU PAKAM,SAWITTA JAYA LAU PAKAM,Not RSPO Certified,,3/31/23,3.26,97.96,"3.260417, 97.965",IDN,Indonesia,Sumatera Utara,Karo,1-Fully Verified,,2366.2,236619.63,2419.07,4056.06,405606.15,10.38,1038.24,4.19,419.31,4.21,421.38,6.5,649.8,8.65,865.17,7.46,745.74,17.43,1742.67,14.26,1426.23,28.94,2893.59,46.24,4624.02,5.77,577.35,17.51,1750.77,3.78,377.55,23.88,2388.15,6.29,629.19,17.05,1704.87,9.26,925.83,10.98,1098.18,5.84,583.65,10.02,1001.97,7.29,728.55,11.05,1105.38,276.98,0.12,2089.22,0.88,2,1,3
PO1000004313,2020,UNKNOWN,CIPTA AGRO SEJATI,CIPTA AGRO SEJATI,Not RSPO Certified,,3/31/23,1.87,100.43,"1.8712, 100.431",IDN,Indonesia,Riau,Rokan Hilir,1-Fully Verified,,42.72,4272.21,63.88,100.96,10096.11,0.34,33.75,0.5,49.86,0.09,9.27,4.78,477.81,1.33,132.84,0.45,45.45,0.26,25.56,1.1,110.07,2.67,267.03,0.67,66.78,0.85,84.51,0.86,86.04,1.01,101.25,0.6,59.94,0.67,66.6,1.59,159.21,0.45,45.45,0.53,52.92,0.78,77.85,0.41,40.77,0.49,48.6,0.56,56.25,20.98,0.49,21.74,0.51,3,3,3
PO1000004317,2020,UNKNOWN,WAHANA POTENSI GUNA,WANA POTENSI GUNA,Not RSPO Certified,,3/31/23,-2.82,103.44,"-2.821718, 103.444369",IDN,Indonesia,Sumatera Selatan,Musi Banyuasin,1-Fully Verified,,253.42,25341.93,316.17,518.35,51835.14,2.47,247.05,14.69,1468.71,6.22,622.26,8.17,817.02,6.18,618.21,15.14,1513.53,3.78,378.27,14.68,1467.63,8.23,823.32,5.23,522.72,4.99,499.05,18.47,1846.8,5.13,512.91,9.63,963.18,5.26,526.5,9.75,974.52,4.19,419.13,3.67,367.29,3.55,354.51,5.97,596.61,9.25,924.75,8.28,827.64,172.92,0.68,80.5,0.32,5,4,3
PO1000004332,2020,UNKNOWN,SERDANG HULU,SERDANG HULU,Not RSPO Certified,,3/31/23,3.35,98.49,"3.34945, 98.494433",IDN,Indonesia,Sumatera Utara,Langkat,1-Fully Verified,,474.7,47470.14,652.19,2003.84,200383.65,6.14,614.16,0.99,99,0.85,85.32,1.33,132.57,0.87,87.39,1.34,133.92,4.06,405.9,1.72,171.63,5.05,505.08,3.89,388.98,3.12,312.3,4.59,458.73,0.6,60.48,3.48,348.12,1.98,198.27,4.94,494.46,2.94,293.76,5.4,539.82,3.38,338.04,3.13,313.38,3.12,311.67,6.18,617.94,69.11,0.15,405.59,0.85,3,1,3
