Parent Company,Country,count
SWASTISIDDHI AMAGRA,Indonesia,2
BERKAT SAWIT SEJAHTERA,Indonesia,2
TASMA PUJA,Indonesia,2
TRI BAHTERA SRIKANDI,Indonesia,2
BERLIAN INTI MEKAR,Indonesia,2
KARYA AGUNG SAWITA,Indonesia,2
NAGAMAS AGRO MULIA,Indonesia,2
TELEN,Indonesia,2
INCASI RAYA,Indonesia,2
MURINI SAMSAM,Indonesia,2
LANGKAT NUSANTARA KEPONG,Indonesia,2
SARI ADITYA LOKA,Indonesia,2
SUMBER MAKMUR JAYA,Indonesia,2
CHIN TECK PLANTATIONS BHD,Malaysia,2
TETANGGA AKRAB SDN BHD,Malaysia,2
BINA PRATAMA SAKOTO JAYA,Indonesia,2
SARI LEMBAH SUBUR,Indonesia,2
ACEITES MANUELITA,Colombia,2
BENGKULU SAWIT LESTARI,Indonesia,2
TEGUH KARSA WANALESTARI,Indonesia,2
SUMATERA MAKMUR LESTARI,Indonesia,2
KEMILAU PERMATA SAWIT,Indonesia,2
SOUTHERN REALTY (MALAYA) SDN BHD,Malaysia,2
BANYU KAHURIPAN INDONESIA,Indonesia,2
SINAR JAYA INTI MULYA,Indonesia,2
BINTULU LUMBER DEVELOPMENT SDN BHD,Malaysia,2
ENSEM LESTARI,Indonesia,2
SMOTHONG PALMOIL CO.,Thailand,2
AGUMIL PHILIPPINES,Philippines,2
PERMATA NUSA SEJATI,Indonesia,2
DHANISTA SURYA NUSANTARA,Indonesia,2
PAMOL ESTATES (SABAH) SDN BHD,Malaysia,1
AGRO WIRATAMA,Indonesia,1
EASTERN SUMATERA INDONESIA,Indonesia,1
TOLAN TIGA INDONESIA,Indonesia,1
RAMU AGRI INDUSTRIES,Papua New Guinea,1
SIME INDO AGRO,Indonesia,1
C.I. TEQUENDAMA S.A.S.,Colombia,1
CAROTINO SDN BHD,Malaysia,1
GUADALCANAL PLAINS PALM OIL LTD,Solomon Islands,1
REKA HALUS SDN BHD,Malaysia,1
MAJU ANEKA SAWIT,Indonesia,1
BERKAT SAWIT SEJATI,Indonesia,1
BAKRIE SUMATERA PLANTATIONS,Indonesia,1
SRI KAMUSAN SDN BHD,Malaysia,1
SYARIKAT PUKIN LADANG KELAPA SAWIT SDN BHD,Malaysia,1
"MONG RETHTHY INVESTMENT CAMBODIA OIL PALM CO., LTD",Cambodia,1
UNITED INTERNATIONAL ENTERPRISES (M) SDN BHD,Malaysia,1
PANGKATAN INDONESIA,Indonesia,1
AEK TARUM,Indonesia,1
UNGGUL LESTARI,Indonesia,1
AGRIVAR,Côte d'Ivoire,1
TEGUH SEMPURNA,Indonesia,1
BAHARI GEMBIRA RIA,Indonesia,1
BINA SAINS CEMERLANG,Indonesia,1
ANEKA INTI PERSADA,Indonesia,1
BERSAMA SEJAHTERA SAKTI,Indonesia,1
GUTHRIE PECCONINA INDONESIA,Indonesia,1
INDOTRUBA TENGAH,Indonesia,1
KRIDATAMA LANCAR,Indonesia,1
LANGGENG MUARA MAKMUR,Indonesia,1
LADANGRUMPUN SUBURABADI,Indonesia,1
LAHAN TANI SAKTI,Indonesia,1
PARIPURNA SWAKARSA,Indonesia,1
SWADAYA ANDIKA,Indonesia,1
TUNGGAL MITRA PLANTATIONS,Indonesia,1
TAMACO GRAHA KRIDA,Indonesia,1
KERESA MILL SDN BHD,Malaysia,1
SWAKARSA SINAR SENTOSA,Indonesia,1
LAM SOON (THAILAND),Thailand,1
KECK SENG (M) BHD,Malaysia,1
KULA PALM OIL LTD - MILNE BAY ESTATES,Papua New Guinea,1
ASIA OIL PALM SDN BHD,Malaysia,1
MELEWAR PROPERTIES SDN BHD,Malaysia,1
"AUSTINDO NUSANTARA JAYA AGRI ",Indonesia,1
SAHABAT MEWAH & MAKMUR,Indonesia,1
SYARIMO SDN BHD,Malaysia,1
LADANG SABAH SDN BHD,Malaysia,1
KENCANA SAWIT INDONESIA,Indonesia,1
TANIA SELATAN,Indonesia,1
SALIM IVOMAS PRATAMA,Indonesia,1
AMP PLANTATION,Indonesia,1
SEKARBUMI ALAMLESTARI,Indonesia,1
PERKASA SUBUR SAKTI,Indonesia,1
AGRO MITRA MADANI,Indonesia,1
BULUH CAWANG PLANTATIONS,Indonesia,1
BUMI SAWIT KENCANA,Indonesia,1
RAMAJAYA PRAMUKTI,Indonesia,1
BUMIPALMA LESTARIPERSADA,Indonesia,1
MEGANUSA INTISAWIT,Indonesia,1
AYU SAWIT LESTARI,Indonesia,1
HARAPAN SAWIT LESTARI,Indonesia,1
SINDORA BHD,Malaysia,1
BARUMUN AGRI SENTOSA,Indonesia,1
MASKAPAI PERKEBUNAN LEIDONG WEST INDONESIA,Indonesia,1
FORESTA LESTARI DWIKARYA,Indonesia,1
"THE NATURAL PALM GROUP CO.,LTD",Thailand,1
INDUSTRIAL AGRARIA LA PALMA S.A. (INDUPALMA),Colombia,1
PRIMA MITRAJAYA MANDIRI,Indonesia,1
SIRINGO-RINGO,Indonesia,1
BUMI SAWIT PERMAI,Indonesia,1
GAWI BAHANDEP SAWIT MEKAR,Indonesia,1
BRAHMA BINA BAKTI,Indonesia,1
DJUANDA SAWIT LESTARI,Indonesia,1
AGRO LESTARI MANDIRI,Indonesia,1
KENCANA GRAHA PERMAI,Indonesia,1
UMBUL MAS WISESA,Indonesia,1
WINDU NABATINDO LESTARI,Indonesia,1
KARYA MAKMUR BAHAGIA,Indonesia,1
SATYA KISMA USAHA,Indonesia,1
BUMI PERMAI LESTARI,Indonesia,1
SANDIKA NATAPALMA,Indonesia,1
RIMBA MUJUR MAHKOTA,Indonesia,1
AUSTINDO NUSANTARA JAYA AGRI SIAIS,Indonesia,1
TIAN SIANG OILL MILL SDN BHD,Malaysia,1
GERSINDO MINANG PLANTATION,Indonesia,1
TUNGGAL YUNUS ESTATE,Indonesia,1
DASA ANUGERAH SEJATI,Indonesia,1
GUNUNG MAS RAYA,Indonesia,1
GOPDC,Ghana,1
INDO SAWIT KEKAL,Indonesia,1
GENTING PLANTATIONS BERHAD,Malaysia,1
ACEITES Y DERIVADOS S.A.,Honduras,1
TIAN SIANG OILL MILL (AIR KUNING) SDN BHD,Malaysia,1
GUNUNG MELAYU,Indonesia,1
SAUDARA SEJATI LUHUR,Indonesia,1
ARINDO TRISEJAHTERA,Indonesia,1
IDRIPLANT,Indonesia,1
SERIKAT PUTRA,Indonesia,1
BOUSTEAD GRADIENT SDN BHD,Malaysia,1
OLAM INTERNATIONAL LTD,Gabon,1
STEELINDO WAHANA PERKASA,Indonesia,1
HARI SAWIT JAYA,Indonesia,1
PALMERAS DE LA COSTA S.A.,Colombia,1
CHUMPORN PALM OIL INDUSTRY PUBLIC COMPANY LTD,Thailand,1
COMPAÑÍA AGRICOLA INDUSTRIAL CEIBEÑA S.A.  (CAICESA),Honduras,1
AGRICOLA TORNABE SA DE CV (AGROTOR),Honduras,1
MENTAYA SAWIT MAS,Indonesia,1
EXTRACTORA DEL SUR DE CASANARE S.A.S.,Colombia,1
PONTIAN UNITED PLANTATIONS BHD,Malaysia,1
MITRA MENDAWAI SEJATI,Indonesia,1
KALIMANTAN SAWIT ABADI,Indonesia,1
GRUPO OLEOFLORES,Colombia,1
RIMBA HARAPAN SAKTI,Indonesia,1
GUNAJAYA KARYA GEMILANG,Indonesia,1
ACE OIL MILL SDN BHD,Malaysia,1
ACHI JAYA PLANTATIONS SDN BHD,Malaysia,1
ALAMBUMI PALM OIL MILL SDN BHD,Malaysia,1
ARAH KAWASAN SDN BHD,Malaysia,1
AWAN TIMUR PALM OIL MILL RESOURCES (PERAK) SDN BHD,Malaysia,1
BALUNG PALM OIL MILL SDN BHD,Malaysia,1
BAN DUNG PALM OIL INDUSTRIES SDN BHD,Malaysia,1
BBC PALM OIL MILL SDN BHD,Malaysia,1
BEAUFORT PALM OIL MILL SDN BHD,Malaysia,1
SYARIKAT PERUSAHAAN KELAPA SAWIT SDN BHD,Malaysia,1
BELL PALM INDUSTRIES SDN BHD,Malaysia,1
BORNEO AGRO-RESOURCES SDN BHD,Malaysia,1
BOUSTEAD EMASTULIN SDN BHD,Malaysia,1
BOUSTEAD PELITA KANOWIT OIL MILL SDN BHD,Malaysia,1
BOUSTEAD TELOK SENGAT SDN BHD,Malaysia,1
CENTRAL PALM OIL MILL SDN BHD,Malaysia,1
CEPATWAWASAN GROUP BHD,Malaysia,1
CLASSIC PALM OIL MILL SDN BHD,Malaysia,1
DOMINION SQUARE SDN BHD,Malaysia,1
ENG THYE PLANTATIONS BHD,Malaysia,1
EVER YIELD TRADING SDN BHD,Malaysia,1
KILANG SAWIRA MAKMUR SDN BHD,Malaysia,1
FELCRA JAYA SAMARAHAN SDN BHD,Malaysia,1
FOONG LEE SAWI MINYAK SDN BHD,Malaysia,1
GABUNGAN PERUSAHAAN MINYAK LANGKAP SDN BHD,Malaysia,1
GLOBAL ENTERPRISE OIL MILL SDN BHD,Malaysia,1
PARAMITRA INTERNUSA PRATAMA,Indonesia,1
PERSADA GRAHA MANDIRI,Indonesia,1
GOLDEN ELATE OIL MILL SDN BHD,Malaysia,1
HAVYS OIL MILL SDN BHD,Malaysia,1
INNOPRISE PLANTATIONS BHD,Malaysia,1
JT OIL DEVELOPMENT SDN BHD,Malaysia,1
MAUJAYA SDN BHD,Malaysia,1
MAXIWEALTH HOLDINGS SDN BHD,Malaysia,1
PALMGROUP PALM OIL MILL SDN BHD,Malaysia,1
SANKINA OIL MILLS SDN BHD,Malaysia,1
JENG HUAT (BAHAU) REALTY SDN BHD,Malaysia,1
KAHANG PALM OIL MILL SDN BHD,Malaysia,1
ASIAN PLANTATIONS MILLING SDN BHD,Malaysia,1
KESEDAR PERKILANGAN SDN BHD,Malaysia,1
KILANG KELAPA SAWIT FORTUNA SDN BHD,Malaysia,1
SIANG,Malaysia,1
KILANG KELAPA SAWIT LEKIR SDN BHD,Malaysia,1
FELCRA BHD,Malaysia,1
KILANG MINYAK SAWIT KAMUNTING SDN BHD,Malaysia,1
KILANG MINYAK SAWIT TG TUALANG (1997) SDN BHD,Malaysia,1
KILANG SAWIT BELL SDN BHD,Malaysia,1
KILANG SAWIT LEMBING SDN BHD,Malaysia,1
KILANG SAWIT MUAR BHD,Malaysia,1
KILANG SAWIT PANJI ALAM SDN BHD,Malaysia,1
KILANG SAWIT UNITED BELL SDN BHD,Malaysia,1
DESA KIM LOONG PALM OIL SDN BHD,Malaysia,1
KIM LOONG PALM OIL MILLS SDN BHD,Malaysia,1
KIM LOONG SABAH MILLS SDN BHD,Malaysia,1
KILANG KELAPA SAWIT PINANGAH SDN BHD,Malaysia,1
ABEDON OIL MILL SDN. BHD,Malaysia,1
KUANTAN TRADING OIL MILL SDN BHD,Malaysia,1
LADANG RAKYAT TERENGGANU SDN BHD,Malaysia,1
LADANG TAI TAK (KOTA TINGGI) SDN BHD,Malaysia,1
LENGA PALMOIL INDUSTRIES SDN BHD,Malaysia,1
LADANG MILLS SDN BHD,Malaysia,1
LIZIZ PLANTATION SDN BHD,Malaysia,1
LKPP CORPORATION SDN BHD,Malaysia,1
SUKAU PALM OIL MILL SDN BHD,Malaysia,1
MALMAJU BINA SDN BHD,Malaysia,1
MALPOM INDUSTRIES BHD,Malaysia,1
MALSA CORPORATION SDN BHD,Malaysia,1
